ID,Time_zone,Geo_enabled,Followers,Date
7.12868E+16,Central America,1,532,24
7.12868E+16,null,1,130,24
7.12869E+16,null,0,130,24
7.24287E+17,Brasilia,0,1044,24
7.24287E+17,Pacific Time (US & Canada),1,7847,24
7.1287E+16,Midway Island,1,1141,24
7.1287E+16,Pacific Time (US & Canada),0,409,24
7.24287E+17,Santiago,1,106,24
7.24287E+17,Brasilia,0,2861,24
7.24287E+17,Hawaii,1,7847,24
7.24287E+17,London,0,1291,24
7.24287E+17,Brasilia,0,745,24
7.24287E+17,Jakarta,1,33,24
7.24287E+17,null,0,436,24
7.24287E+17,Brasilia,0,970,24
7.12872E+16,null,1,7847,24
7.24287E+17,Eastern Time (US & Canada),1,74,24
7.24287E+17,null,1,489,24
7.12872E+16,Eastern Time (US & Canada),1,128,24
7.24287E+17,Madrid,1,489,24
7.12873E+15,Eastern Time (US & Canada),1,1080,24
7.12873E+16,Brasilia,0,489,24
7.12873E+16,null,1,7847,24
7.24287E+17,Central America,0,204,24
7.24287E+17,Buenos Aires,1,177,24
7.24287E+17,Caracas,1,287,24
7.24287E+17,Brasilia,0,140,24
7.24287E+17,Brasilia,0,7847,24
7.24287E+17,Bangkok,1,80,24
7.24287E+17,null,0,3821,24
7.24287E+17,Central America,0,15,24
7.24287E+17,Brasilia,0,177,24
7.24287E+17,null,1,13,24
7.24288E+17,Bangkok,1,7118,24
7.24288E+17,null,0,3821,24
7.24288E+17,Pacific Time (US & Canada),0,8,24
7.24288E+17,Hawaii,1,56,24
7.24288E+17,Eastern Time (US & Canada),0,1291,24
7.24288E+17,Pacific Time (US & Canada),1,1808,24
7.24288E+17,Mid-Atlantic,1,146,24
7.24288E+17,null,0,159,24
7.24288E+17,New Delhi,0,3,24
7.12878E+16,Brasilia,0,2889,24
7.24288E+17,Central America,1,55,24
7.12879E+16,null,0,1700,24
7.24288E+17,Brasilia,0,43,24
7.12879E+16,null,0,21,24
7.24288E+17,Pacific Time (US & Canada),0,5,24
7.12879E+16,Santiago,1,82,24
7.24288E+17,Pacific Time (US & Canada),1,888,24
7.24288E+17,Mid-Atlantic,1,2318,24
7.24288E+17,Brasilia,1,1004,24
7.1288E+16,Pacific Time (US & Canada),0,349,24
7.1288E+16,Pacific Time (US & Canada),0,1979,24
7.24288E+17,Brasilia,1,3839,24
7.24288E+17,null,0,122,24
7.24288E+17,Pacific Time (US & Canada),1,24,24
7.24288E+17,Pacific Time (US & Canada),0,103,24
7.24288E+17,null,0,17,24
7.24288E+17,Pacific Time (US & Canada),0,803,24
7.24288E+17,Santiago,1,106,24
7.24288E+17,Hawaii,0,379,24
7.12883E+15,Mid-Atlantic,1,14692,24
7.12883E+16,Brasilia,1,313,24
7.24288E+17,Brasilia,1,990,24
7.24288E+17,null,0,1292,24
7.24288E+17,null,1,9,24
7.24288E+17,Greenland,1,359,24
7.24288E+17,Hawaii,0,1150,24
7.12884E+16,null,1,3353,24
7.24288E+17,Atlantic Time (Canada),1,1439,24
7.24288E+17,null,0,834,24
7.12884E+16,Santiago,1,10,24
7.24288E+17,London,0,3284,24
7.24288E+17,Pacific Time (US & Canada),0,758,24
7.24289E+17,null,0,1959,24
7.12885E+16,null,0,394,24
7.24289E+17,null,0,20,24
7.24289E+17,null,0,403,24
7.12887E+16,Brasilia,1,133,24
7.24289E+17,null,1,669,24
7.24289E+17,Eastern Time (US & Canada),0,1688,24
7.12887E+16,Caracas,0,9010512,24
7.24289E+17,Brasilia,0,577,24
7.24289E+17,null,0,125,24
7.24289E+17,Athens,0,736,24
7.24289E+17,null,0,3077,24
7.24289E+17,Amsterdam,1,205,24
7.24289E+17,Amsterdam,1,59575,24
7.24289E+17,Amsterdam,0,132769,24
7.24289E+17,null,1,35880,24
7.24289E+17,Greenland,1,182,24
7.24289E+17,Brasilia,1,2842,24
7.24289E+17,Buenos Aires,1,6516,24
7.24289E+17,Central Time (US & Canada),1,44,24
7.24289E+17,Athens,0,1118,24
7.12888E+16,Santiago,1,1871,24
7.24289E+17,Central Time (US & Canada),1,73,24
7.24289E+17,null,0,12551,24
7.24289E+17,null,0,35,24
7.24289E+17,null,1,2658,24
7.24289E+17,Pacific Time (US & Canada),0,68,24
7.24289E+17,null,0,764,24
7.24289E+17,Atlantic Time (Canada),1,35,24
7.24289E+17,null,1,6155,24
7.24289E+17,Brasilia,1,792,24
7.24289E+17,Eastern Time (US & Canada),0,243,24
7.24289E+17,Amsterdam,0,2349,24
7.24289E+17,null,1,153,24
7.24289E+17,null,1,474,24
7.12889E+16,null,0,900,24
7.24289E+17,null,0,250,24
7.24289E+17,null,1,471,24
7.1289E+15,Eastern Time (US & Canada),0,1387,24
7.24289E+17,New Delhi,1,111,24
7.24289E+17,null,1,1791,24
7.24289E+17,null,0,420,24
7.24289E+17,Central Time (US & Canada),0,0,24
7.1289E+16,Santiago,0,2939,24
7.24289E+17,Mountain Time (US & Canada),1,193,24
7.24289E+17,Eastern Time (US & Canada),0,185,24
7.24289E+17,null,0,141,24
7.24289E+17,Buenos Aires,0,226,24
